ID	Length	SRR7537192_sorted
ENSG00000132128.16	3999	208.0
ENSG00000166004.15	10999	4928.5
ENSG00000174021.11	8999	1151.0
ENSG00000145715.14	19999	1003.0
ENSG00000248187.1	3999	36.0
ENSG00000163157.15	3999	528.0
ENSG00000272223.1	9999	2059.0
ENSG00000187741.15	9499	271.0
ENSG00000259006.1	9499	417.0
ENSG00000277688.1	13499	1099.0
ENSG00000267458.1	5499	24686.5
ENSG00000160683.4	5999	228.5
ENSG00000172432.19	5999	289.0
ENSG00000136014.12	5499	1502.5
ENSG00000224020.1	29499	622.0
ENSG00000176974.20	12499	1231.0
ENSG00000169727.12	7999	1711.5
ENSG00000136867.11	10499	930.0
ENSG00000182362.14	4999	208.0
ENSG00000274630.1	11499	4240.5
ENSG00000175197.12	5499	1324.0
ENSG00000198026.8	6499	206.0
ENSG00000015475.18	7499	1497.5
ENSG00000173598.14	5999	2771.0
ENSG00000188486.3	8999	557.5
ENSG00000244513.7	8499	833.0
ENSG00000106991.13	12499	1431.0
ENSG00000135164.18	4499	708.0
ENSG00000224384.1	4499	191.5
ENSG00000224032.7	4499	74.5
ENSG00000279428.1	3999	230.5
ENSG00000103942.13	6999	237.5
ENSG00000163481.8	3999	892.0
ENSG00000231609.7	15999	619.5
ENSG00000224899.1	8999	184.0
ENSG00000086619.13	8499	265.0
ENSG00000102910.13	5499	71.5
ENSG00000272767.1	6999	92.0
ENSG00000286686.1	4999	1098.0
ENSG00000233098.9	23499	3886.5
ENSG00000204052.4	3999	282.0
ENSG00000143314.12	8499	268.5
ENSG00000267523.1	7999	1436.5
ENSG00000118181.11	17499	1282.5
ENSG00000149716.12	13499	10582.5
ENSG00000263345.1	3999	213.5
ENSG00000137575.12	5499	802.5
ENSG00000257878.1	4499	348.5
ENSG00000188396.3	5499	195.0
ENSG00000158286.13	6999	5942.5
ENSG00000197958.13	3999	230.0
ENSG00000278811.4	4499	147.0
ENSG00000279488.1	16999	1179.0
ENSG00000167720.13	11999	2269.0
ENSG00000266456.1	3999	34.0
ENSG00000287202.1	8499	456.0
ENSG00000162976.13	18999	2917.5
ENSG00000146826.17	5499	900.0
ENSG00000163354.15	6499	597.0
ENSG00000274363.1	5499	1332.0
ENSG00000186638.16	3999	520.5
ENSG00000233613.5	5499	103.5
ENSG00000140398.13	11499	856.0
ENSG00000092330.18	6999	537.0
ENSG00000162004.17	6999	781.0
ENSG00000279033.1	13499	746.0
ENSG00000142168.14	18499	580.0
ENSG00000246859.3	17999	608.0
ENSG00000280385.1	24999	3730.5
ENSG00000183798.5	8499	593.0
ENSG00000166987.15	9499	1458.5
ENSG00000204380.4	7999	248.0
ENSG00000286216.1	5499	137.0
ENSG00000164414.18	9999	635.5
ENSG00000085760.14	3999	17455.5
ENSG00000164764.11	18999	1355.5
ENSG00000264056.1	20499	1154.5
ENSG00000261669.1	14499	1409.0
ENSG00000273218.1	3999	40.0
ENSG00000247473.2	4499	73.5
ENSG00000267469.1	6499	799.0
ENSG00000258725.2	5999	337.0
ENSG00000266341.1	5499	2994.5
ENSG00000100075.10	3999	82.5
ENSG00000136816.16	9999	1151.0
ENSG00000256512.1	17499	909.5
ENSG00000271755.1	3999	48.0
ENSG00000140403.12	17499	1369.5
ENSG00000275527.1	3999	100.5
ENSG00000226876.3	46999	677.0
ENSG00000126246.10	20499	585.5
ENSG00000137494.13	7499	367.0
ENSG00000054282.16	10999	2674.5
ENSG00000090266.13	6499	638.5
ENSG00000183324.11	17499	1890.0
ENSG00000265393.1	3999	1280.0
ENSG00000143947.13	4499	610.0
ENSG00000273275.1	4499	464.0
ENSG00000178177.15	29999	6189.5
ENSG00000241155.1	4499	43.0
ENSG00000259563.1	18999	732.0
ENSG00000160446.19	7999	374.5
ENSG00000236824.2	5499	87.5
ENSG00000277481.1	14999	2808.5
ENSG00000169752.17	18999	1370.5
ENSG00000185774.16	8499	351.5
ENSG00000254907.1	8499	1266.5
ENSG00000275881.1	9999	849.0
ENSG00000267356.1	3999	177.5
ENSG00000102302.8	4999	1007.5
ENSG00000135766.9	25499	986.0
ENSG00000110446.11	11499	1933.5
ENSG00000261207.1	8499	536.0
ENSG00000259049.1	7499	956.0
ENSG00000254402.7	4499	685.5
ENSG00000114650.20	8999	194.0
ENSG00000249835.2	19999	3701.0
ENSG00000204323.5	4499	61.0
ENSG00000203993.5	8999	490.0
ENSG00000174945.13	4499	68.5
ENSG00000231955.1	6499	1339.0
ENSG00000226803.9	16499	2075.0
ENSG00000184524.6	9499	308.5
ENSG00000142327.13	4999	76.5
ENSG00000259732.1	5999	1837.0
ENSG00000177731.16	12999	868.0
ENSG00000202434.1	6499	2785.0
ENSG00000203321.2	8999	346.5
ENSG00000110060.9	5999	75.0
ENSG00000164708.6	4999	1916.5
ENSG00000272982.1	22999	772.5
ENSG00000130724.8	7499	6508.0
ENSG00000127990.18	4999	104.0
ENSG00000231851.6	4999	217.0
ENSG00000127419.17	13499	609.5
ENSG00000142513.5	9499	1754.0
ENSG00000256469.1	5499	1121.0
ENSG00000223263.1	13499	12657.5
ENSG00000272509.1	10499	1422.5
ENSG00000166856.3	7499	291.5
ENSG00000286990.1	7999	109.5
ENSG00000172795.16	5499	1083.0
ENSG00000268149.1	3999	146.5
ENSG00000227253.3	5999	225.0
ENSG00000259627.1	20499	26322.5
ENSG00000184068.2	6499	615.0
ENSG00000167476.10	14499	1255.5
ENSG00000272027.2	14999	322.5
ENSG00000286158.1	5999	50.0
ENSG00000257181.1	33499	3151.0
ENSG00000253022.1	10499	568.0
ENSG00000196517.11	12499	2617.0
ENSG00000125107.18	4499	433.0
ENSG00000175110.11	4499	2092.0
ENSG00000117399.14	4999	1925.5
ENSG00000222506.1	9999	198.0
ENSG00000104415.14	66499	17706.5
ENSG00000168676.11	11499	678.0
ENSG00000287408.1	17999	2123.5
ENSG00000165985.10	4999	956.0
ENSG00000186714.12	18499	4234.0
ENSG00000118260.15	3999	194.5
ENSG00000252503.1	5499	898.0
ENSG00000082996.19	8999	6309.5
ENSG00000108556.10	7499	440.5
ENSG00000287629.1	8999	239.5
ENSG00000168763.16	5999	110.0
ENSG00000070388.11	8999	686.0
ENSG00000268041.2	5999	829.5
ENSG00000222614.1	9499	369.5
ENSG00000272936.1	21999	798.0
ENSG00000164171.11	3999	445.5
ENSG00000093010.13	4499	94.5
ENSG00000269243.1	5499	411.5
ENSG00000034533.11	12999	1125.0
ENSG00000252319.1	4499	239.0
ENSG00000125812.16	4999	218.5
ENSG00000267783.1	7999	2507.0
ENSG00000137700.18	4999	737.0
